,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2003-04-01,1.25,2.175125488008911,1.9886961093585676,1.9550651524723905,6.0,0.20000000000000018,23.99190476190476,2.336190476190476,-19.762306267430496,1
2003-05-01,1.25,1.8941504178273005,1.8048075660055396,1.9550651524723905,6.1,0.1999999999999993,20.23952380952381,2.1538095238095236,-8.124895608400884,0
2003-06-01,1.0,1.948775055679297,1.788127254837657,1.9550651524723905,6.3,0.39999999999999947,20.362380952380953,2.107142857142857,8.284114582406655,1
2003-07-01,1.0,2.055555555555544,1.8627361145654664,3.2311353875128956,6.2,0.20000000000000018,19.161363636363635,2.5013636363636365,27.47971559282336,1
2003-08-01,1.0,2.216066481994461,2.0067151797029004,3.2311353875128956,6.1,0.0,19.274285714285714,2.580952380952381,30.07938989290222,1
2003-09-01,1.0,2.378318584070782,2.141338793182146,3.2311353875128956,6.1,-0.20000000000000018,19.532380952380954,2.568095238095238,48.35449866131629,1
2003-10-01,1.0,2.041942604856528,1.9682118170812668,4.300440651057458,6.0,-0.20000000000000018,18.023478260869567,2.5427272727272725,53.46266642907129,1
2003-11-01,1.0,1.9283746556473913,1.996176703902619,4.300440651057458,5.8,-0.2999999999999998,17.40105263157895,2.373333333333333,37.51997119132366,1
2003-12-01,1.0,2.0352035203520247,2.122877447350291,4.300440651057458,5.7,-0.39999999999999947,16.826363636363638,2.3604545454545454,40.85502641136849,1
2004-01-01,1.0,2.026286966046009,2.212406575044379,4.341952085996703,5.7,-0.2999999999999998,16.101,2.3895,50.76538559544945,1
2004-02-01,1.0,1.688453159041381,2.000619147124838,4.341952085996703,5.6,-0.20000000000000018,15.99842105263158,2.3442105263157895,56.11711505359824,1
2004-03-01,1.0,1.7400761283306032,1.8964297201672586,4.341952085996703,5.8,0.09999999999999964,17.687391304347827,2.248695652173913,46.69248213128685,1
2004-04-01,1.0,2.2925764192139875,2.2592244145734686,4.227491217016888,5.6,-0.10000000000000053,15.69857142857143,2.276666666666667,43.059124359260295,1
2004-05-01,1.0,2.8977583378895444,2.709537572254317,4.227491217016888,5.6,0.0,17.705000000000002,2.182,26.53742188685275,2
2004-06-01,1.25,3.1676679410158393,2.890910965613247,4.227491217016888,5.6,-0.20000000000000018,15.342727272727274,1.9704761904761903,22.81193003036721,1
2004-07-01,1.25,2.939575394665228,2.684537884239746,3.494860356231766,5.5,-0.09999999999999964,15.502380952380953,1.8595238095238094,11.464868006098339,2
2004-08-01,1.5,2.5474254742547275,2.391167919671111,3.494860356231766,5.4,-0.1999999999999993,16.68409090909091,1.7731818181818182,5.517650166878618,2
2004-09-01,1.75,2.5391680172879516,2.2739169847937557,3.494860356231766,5.4,-0.1999999999999993,14.08095238095238,1.6004761904761904,1.547040308535741,1
2004-10-01,1.75,3.1909140075716547,2.700011489410592,3.3511049439547858,5.5,0.0,14.973809523809523,1.5125,1.6990401555668333,2
2004-11-01,2.0,3.621621621621607,2.9656262749897966,3.3511049439547858,5.4,0.0,13.577619047619047,1.342,6.4506702032052,2
2004-12-01,2.25,3.3423180592991875,2.7937154125055708,3.3511049439547858,5.4,0.0,12.459545454545456,1.219090909090909,10.013862907730363,1
2005-01-01,2.25,2.8448738593666034,2.53203056685547,3.9088432572524257,5.3,-0.20000000000000018,13.437999999999999,0.999,-1.1593270211952778,2
2005-02-01,2.5,3.0530262453133394,2.598732880610055,3.9088432572524257,5.4,0.0,11.708947368421052,0.7805263157894737,0.8493664439614745,2
2005-03-01,2.75,3.2068412613575736,2.747509438250484,3.9088432572524257,5.2,-0.20000000000000018,13.126363636363635,0.770909090909091,2.5671307440945146,1
2005-04-01,2.75,3.3617929562433257,2.844503818718014,3.6177355801611855,5.2,-0.09999999999999964,14.459047619047618,0.6871428571428572,-3.040767723207538,2
2005-05-01,3.0,2.869287991498415,2.5689663835988252,3.6177355801611855,5.1,-0.3000000000000007,13.967619047619047,0.5004761904761905,3.8855539780953574,2
2005-06-01,3.25,2.541026998411855,2.3411957760769653,3.6177355801611855,5.0,-0.20000000000000018,11.868636363636364,0.3577272727272727,3.595741045513634,1
2005-07-01,3.25,3.067160232681121,2.679431825292533,3.448598847170792,5.0,-0.20000000000000018,11.049,0.3065,12.151145899074244,2
2005-08-01,3.5,3.6469344608879517,3.0408025417156592,3.448598847170792,4.9,-0.1999999999999993,12.951304347826087,0.21826086956521742,18.44580616137057,2
2005-09-01,3.75,4.741833508956805,3.8300209727354373,3.448598847170792,5.0,0.0,12.628095238095238,0.2528571428571429,13.791740842570889,1
2005-10-01,3.75,4.350104821802936,3.551362370723954,2.9727366937913002,5.0,0.0,14.937619047619048,0.1925,7.684413794458922,2
2005-11-01,4.0,3.3385498174230532,2.938408578716656,2.9727366937913002,5.0,0.09999999999999964,12.147619047619047,0.11850000000000001,6.786038037159048,2
2005-12-01,4.25,3.3385498174230532,2.8836276778752667,2.9727366937913002,4.9,-0.09999999999999964,11.26,0.06285714285714286,4.491945586568957,2
2006-01-01,4.5,4.018789144050117,3.246937842213904,3.2131067957182013,4.7,-0.2999999999999998,12.036,0.020499999999999997,10.5276799260958,1
2006-02-01,4.5,3.63825363825363,3.0222353695212645,3.2131067957182013,4.8,-0.20000000000000018,12.471052631578948,-0.09947368421052633,10.06568833126369,2
2006-03-01,4.75,3.4179181771103018,2.9136712749615823,3.2131067957182013,4.7,-0.20000000000000018,11.69391304347826,-0.009999999999999998,13.288886224989316,1
2006-04-01,4.75,3.613835828600931,3.102827101944805,2.9729038556202125,4.7,0.0,11.84736842105263,0.10157894736842105,19.473098452812245,2
